category,metric,aggressive,greedy,safe,unforgiving,none
blocked,llm_invalid_rate,0.1,0.675,0.6,0.55,0.675
blocked,block_rate,0.5277777777777778,0.5384615384615384,0.5625,0.5555555555555556,0.5384615384615384
capture_vs_home_finish,llm_invalid_rate,0.325,0.375,0.375,0.35,0.375
capture_vs_home_finish,capture_rate,0.8148148148148148,0.72,0.64,0.7692307692307693,0.36
capture_vs_home_finish,home_finish_rate,0.18518518518518517,0.28,0.36,0.23076923076923078,0.64
capture_vs_home,llm_invalid_rate,0.275,0.375,0.4,0.4,0.4
capture_vs_home,capture_rate,0.5862068965517241,0.36,0.2916666666666667,0.375,0.20833333333333334
capture_vs_home,home_entry_rate,0.41379310344827586,0.64,0.7083333333333334,0.625,0.7916666666666666
capture_vs_openexisting,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_openexisting,capture_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_openexisting,open_rate,1.0,1.0,1.0,1.0,1.0
capture_vs_safe,llm_invalid_rate,0.275,0.275,0.3,0.3,0.225
capture_vs_safe,capture_rate,0.6206896551724138,0.5862068965517241,0.75,0.6785714285714286,0.7741935483870968
capture_vs_safe,safe_rate,0.3793103448275862,0.41379310344827586,0.25,0.32142857142857145,0.22580645161290322
capture,llm_invalid_rate,,0.225,0.225,0.25,0.175
capture,capture_rate,,0.41935483870967744,0.5806451612903226,0.5333333333333333,0.7878787878787878
overshoot,llm_invalid_rate,0.85,0.95,0.9,0.9,0.95
overshoot,overshoot_rate,0.0,0.0,0.0,0.0,0.0
safe,llm_invalid_rate,0.225,0.3,0.325,0.275,0.3
safe,safe_rate,0.4838709677419355,0.4642857142857143,0.7037037037037037,0.5517241379310345,0.75
safe_vs_openexisting,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
safe_vs_openexisting,safe_rate,1.0,1.0,1.0,1.0,1.0
safe_vs_openexisting,open_rate,1.0,1.0,1.0,1.0,1.0
extra_turn,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
extra_turn,bring_out_rate,1.0,1.0,1.0,1.0,1.0
extra_turn,move_existing_rate,0.0,0.0,0.0,0.0,0.0
home_entry,llm_invalid_rate,0.25,0.425,0.4,0.4,0.375
home_entry,home_entry_rate,0.36666666666666664,0.4782608695652174,0.625,0.5416666666666666,0.76
grudge,change_rate,0.275,0.275,0.15,0.6428571428571429,0.075
grudge,retaliation_grudge_rate,0.65,0.6,0.475,0.9285714285714286,0.425
grudge,retaliation_noconflict_rate,0.475,0.45,0.4,1.0,0.425
