category,total_common,valid_both,agreement_on_valid,agreement_rate,llm_invalid_rate,gt_invalid_rate,llm_2p_share,gt_expectiminimax_share,llm_valid_rate,ra_score
home_entry,40,35,28,0.800000,0.125000,0.000000,0.350000,0.350000,0.875000,0.700000
extra_turn,40,40,28,0.700000,0.000000,0.000000,0.350000,0.350000,1.000000,0.700000
capture_vs_home,40,36,27,0.750000,0.100000,0.000000,0.350000,0.350000,0.900000,0.675000
safe_vs_openexisting,40,39,24,0.615385,0.025000,0.000000,0.350000,0.350000,0.975000,0.600000
overshoot,40,37,15,0.405405,0.075000,0.000000,0.350000,0.350000,0.925000,0.375000
grudge,80,76,26,0.342105,0.050000,0.000000,0.350000,0.350000,0.950000,0.325000
capture_vs_safe,40,34,9,0.264706,0.150000,0.000000,0.350000,0.350000,0.850000,0.225000
capture,40,36,8,0.222222,0.100000,0.000000,0.350000,0.350000,0.900000,0.200000
blocked,40,35,7,0.200000,0.125000,0.000000,0.350000,0.350000,0.875000,0.175000
capture_vs_openexisting,40,37,7,0.189189,0.075000,0.000000,0.350000,0.350000,0.925000,0.175000
safe,40,37,7,0.189189,0.075000,0.000000,0.350000,0.350000,0.925000,0.175000
capture_vs_home_finish,40,37,2,0.054054,0.075000,0.000000,0.350000,0.350000,0.925000,0.050000
