category,metric,aggressive,greedy,safe,unforgiving,none
blocked,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
blocked,block_rate,0.525,0.525,0.525,0.525,0.525
capture_vs_home_finish,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_home_finish,capture_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_home_finish,home_finish_rate,1.0,1.0,1.0,1.0,1.0
capture_vs_home,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_home,capture_rate,0.975,0.975,0.975,0.975,0.975
capture_vs_home,home_entry_rate,0.025,0.025,0.025,0.025,0.025
capture_vs_openexisting,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_openexisting,capture_rate,0.675,0.675,0.675,0.675,0.675
capture_vs_openexisting,open_rate,0.325,0.325,0.325,0.325,0.325
capture_vs_safe,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture_vs_safe,capture_rate,0.975,0.975,0.975,0.975,0.975
capture_vs_safe,safe_rate,0.025,0.025,0.025,0.025,0.025
capture,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
capture,capture_rate,0.875,0.875,0.875,0.875,0.875
overshoot,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
overshoot,overshoot_rate,0.0,0.0,0.0,0.0,0.0
safe,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
safe,safe_rate,0.875,0.875,0.875,0.875,0.875
safe_vs_openexisting,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
safe_vs_openexisting,safe_rate,1.0,1.0,1.0,1.0,1.0
safe_vs_openexisting,open_rate,1.0,1.0,1.0,1.0,1.0
extra_turn,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
extra_turn,bring_out_rate,1.0,1.0,1.0,1.0,1.0
extra_turn,move_existing_rate,0.0,0.0,0.0,0.0,0.0
home_entry,llm_invalid_rate,0.0,0.0,0.0,0.0,0.0
home_entry,home_entry_rate,0.125,0.125,0.125,0.125,0.125
grudge,change_rate,0.0,0.0,0.0,0.0,0.0
grudge,retaliation_grudge_rate,0.0,0.0,0.0,0.0,0.0
grudge,retaliation_noconflict_rate,0.0,0.0,0.0,0.0,0.0
